Date : 2026-05-06 15:56:17
Directory : /www/wwwroot/rackroom.local.host/rackroom
Total : 319 files,  61136 codes, 2605 comments, 5639 blanks, all 69380 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /www/wwwroot/rackroom.local.host/rackroom/app/Console/Commands/AutoDetectDevices.php                                              | PHP                |        153 |         32 |         40 |        225 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Console/Commands/CheckSchedulerStatus.php                                           | PHP                |         49 |          3 |         14 |         66 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Console/Commands/SshWebSocketServer.php                                             | PHP                |        347 |         23 |         89 |        459 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Events/SshOutputEvent.php                                                           | PHP                |         30 |          0 |         10 |         40 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Http/Controllers/AlertController.php                                                | PHP                |        171 |         26 |         34 |        231 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Http/Controllers/BackupController.php                                               | PHP                |        451 |         66 |         90 |        607 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Http/Controllers/Controller.php                                                     | PHP                |          5 |          1 |          3 |          9 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Http/Controllers/DashboardController.php                                            | PHP                |        164 |         24 |         16 |        204 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Http/Controllers/DataExportController.php                                           | PHP                |        206 |         38 |         42 |        286 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Http/Controllers/DetectionLogController.php                                         | PHP                |        133 |         18 |         20 |        171 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Http/Controllers/DeviceController.php                                               | PHP                |        271 |         25 |         54 |        350 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Http/Controllers/DeviceLibraryController.php                                        | PHP                |         85 |         15 |         22 |        122 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Http/Controllers/DeviceTypeController.php                                           | PHP                |         53 |          1 |         15 |         69 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Http/Controllers/H3cPasswordController.php                                          | PHP                |        241 |         42 |         56 |        339 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Http/Controllers/MonitorController.php                                              | PHP                |        145 |         24 |         24 |        193 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Http/Controllers/PingController.php                                                 | PHP                |        115 |         17 |         28 |        160 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Http/Controllers/RackController.php                                                 | PHP                |        418 |         50 |         91 |        559 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Http/Controllers/RackExcelController.php                                            | PHP                |        426 |         38 |         70 |        534 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Http/Controllers/RackTypeController.php                                             | PHP                |         77 |          4 |         21 |        102 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Http/Controllers/ReportController.php                                               | PHP                |        330 |         58 |         66 |        454 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Http/Controllers/RoomController.php                                                 | PHP                |         67 |          1 |         19 |         87 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Http/Controllers/Settings/PasswordController.php                                    | PHP                |         21 |          6 |          6 |         33 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Http/Controllers/Settings/ProfileController.php                                     | PHP                |         39 |          9 |         13 |         61 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Http/Controllers/Settings/TwoFactorAuthenticationController.php                     | PHP                |         26 |          6 |          6 |         38 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Http/Controllers/SshWebSocketController.php                                         | PHP                |        124 |         26 |         28 |        178 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Http/Controllers/SystemSettingController.php                                        | PHP                |         78 |         17 |         18 |        113 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Http/Controllers/UserController.php                                                 | PHP                |         72 |          8 |         21 |        101 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Http/Controllers/UserPreferenceController.php                                       | PHP                |         61 |         12 |         14 |         87 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Http/Middleware/AdminMiddleware.php                                                 | PHP                |         20 |          5 |          6 |         31 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Http/Middleware/CheckRegistrationEnabled.php                                        | PHP                |         25 |          9 |          7 |         41 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Http/Middleware/CheckUserActive.php                                                 | PHP                |         19 |          5 |          7 |         31 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Http/Middleware/HandleAppearance.php                                                | PHP                |         14 |          5 |          5 |         24 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Http/Middleware/HandleInertiaRequests.php                                           | PHP                |         29 |         19 |          6 |         54 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Http/Middleware/SetLocaleFromRequest.php                                            | PHP                |         16 |          5 |          6 |         27 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Http/Requests/Settings/PasswordUpdateRequest.php                                    | PHP                |         16 |          5 |          5 |         26 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Http/Requests/Settings/ProfileDeleteRequest.php                                     | PHP                |         15 |          5 |          5 |         25 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Http/Requests/Settings/ProfileUpdateRequest.php                                     | PHP                |         13 |          5 |          5 |         23 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Http/Requests/Settings/TwoFactorAuthenticationRequest.php                           | PHP                |         17 |          8 |          6 |         31 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Models/Alert.php                                                                    | PHP                |         90 |         30 |         17 |        137 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Models/DetectionLog.php                                                             | PHP                |         56 |         12 |         11 |         79 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Models/Device.php                                                                   | PHP                |         31 |         16 |          6 |         53 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Models/DeviceLibrary.php                                                            | PHP                |         27 |          8 |          7 |         42 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Models/DeviceType.php                                                               | PHP                |         23 |          8 |          8 |         39 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Models/GeneratedReport.php                                                          | PHP                |         78 |         21 |         16 |        115 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Models/H3cPasswordChangeLog.php                                                     | PHP                |         26 |          0 |          7 |         33 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Models/MonitorMetric.php                                                            | PHP                |         44 |         15 |         11 |         70 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Models/Rack.php                                                                     | PHP                |         29 |          8 |          6 |         43 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Models/RackType.php                                                                 | PHP                |         17 |          8 |          4 |         29 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Models/ReportTemplate.php                                                           | PHP                |         49 |         15 |         11 |         75 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Models/Room.php                                                                     | PHP                |         22 |          8 |          7 |         37 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Models/SystemSetting.php                                                            | PHP                |         42 |          8 |         14 |         64 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Models/User.php                                                                     | PHP                |         36 |         22 |          8 |         66 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Models/UserPreference.php                                                           | PHP                |         35 |          6 |         10 |         51 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Notifications/ResetPasswordNotification.php                                         | PHP                |         19 |          5 |          5 |         29 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Providers/AppServiceProvider.php                                                    | PHP                |         33 |         10 |          8 |         51 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Providers/FortifyServiceProvider.php                                                | PHP                |         91 |         22 |         24 |        137 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Services/SshSessionService.php                                                      | PHP                |         83 |         43 |         23 |        149 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Services/SshWebSocketService.php                                                    | PHP                |        169 |         53 |         42 |        264 |
| /www/wwwroot/rackroom.local.host/rackroom/boost.json                                                                              | JSON               |         25 |          0 |          1 |         26 |
| /www/wwwroot/rackroom.local.host/rackroom/bootstrap/app.php                                                                       | PHP                |         36 |          1 |          5 |         42 |
| /www/wwwroot/rackroom.local.host/rackroom/bootstrap/providers.php                                                                 | PHP                |          5 |          0 |          2 |          7 |
| /www/wwwroot/rackroom.local.host/rackroom/components.json                                                                         | JSON               |         21 |          0 |          1 |         22 |
| /www/wwwroot/rackroom.local.host/rackroom/composer.json                                                                           | JSON               |        111 |          0 |          1 |        112 |
| /www/wwwroot/rackroom.local.host/rackroom/composer.lock                                                                           | JSON               |     11,773 |          0 |          1 |     11,774 |
| /www/wwwroot/rackroom.local.host/rackroom/config/app.php                                                                          | PHP                |         22 |         82 |         23 |        127 |
| /www/wwwroot/rackroom.local.host/rackroom/config/auth.php                                                                         | PHP                |         28 |         74 |         14 |        116 |
| /www/wwwroot/rackroom.local.host/rackroom/config/broadcasting.php                                                                 | PHP                |         46 |         24 |         13 |         83 |
| /www/wwwroot/rackroom.local.host/rackroom/config/cache.php                                                                        | PHP                |         64 |         35 |         19 |        118 |
| /www/wwwroot/rackroom.local.host/rackroom/config/database.php                                                                     | PHP                |        118 |         43 |         23 |        184 |
| /www/wwwroot/rackroom.local.host/rackroom/config/filesystems.php                                                                  | PHP                |         41 |         32 |         14 |         87 |
| /www/wwwroot/rackroom.local.host/rackroom/config/fortify.php                                                                      | PHP                |         27 |        105 |         26 |        158 |
| /www/wwwroot/rackroom.local.host/rackroom/config/inertia.php                                                                      | PHP                |         21 |         23 |         12 |         56 |
| /www/wwwroot/rackroom.local.host/rackroom/config/logging.php                                                                      | PHP                |         79 |         33 |         21 |        133 |
| /www/wwwroot/rackroom.local.host/rackroom/config/mail.php                                                                         | PHP                |         57 |         43 |         19 |        119 |
| /www/wwwroot/rackroom.local.host/rackroom/config/queue.php                                                                        | PHP                |         65 |         45 |         20 |        130 |
| /www/wwwroot/rackroom.local.host/rackroom/config/reverb.php                                                                       | PHP                |         49 |         25 |         14 |         88 |
| /www/wwwroot/rackroom.local.host/rackroom/config/services.php                                                                     | PHP                |         20 |         11 |          8 |         39 |
| /www/wwwroot/rackroom.local.host/rackroom/config/session.php                                                                      | PHP                |         23 |        160 |         35 |        218 |
| /www/wwwroot/rackroom.local.host/rackroom/database/factories/AlertFactory.php                                                     | PHP                |         22 |          0 |          5 |         27 |
| /www/wwwroot/rackroom.local.host/rackroom/database/factories/H3cPasswordChangeLogFactory.php                                      | PHP                |         20 |          8 |          4 |         32 |
